SampleNo,Crop_Name,Fertiliser_Combination_1,Fertiliser_Combination_2
PB/2017-18/95451560/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451560/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451628/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451628/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451628/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451628/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95451628/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451628/1,Cotton,Neem Coated Urea  : 435 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 401 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451686/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451686/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451686/1,Maize,Neem Coated Urea  : 272 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 204 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451686/1,Mustard,Neem Coated Urea  : 217 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 183 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95451686/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451686/1,Cotton,Neem Coated Urea  : 326 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 292 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451811/1,Buck Wheat (Kaspat),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451811/1,Paddy(Dhaan),Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
PB/2017-18/95451811/1,Maize,Neem Coated Urea  : 361 | Single Superphosphate (16% P2O5 Granulated): 500 | Potassium Chloride (Muriate of Potash): 50,Diammonium Phosphate (18-46-0): 174 | Neem Coated Urea  : 293 | Potassium Chloride (Muriate of Potash): 50
PB/2017-18/95451811/1,Mustard,Neem Coated Urea  : 289 | Single Superphosphate (16% P2O5 Granulated): 250 | Potassium Chloride (Muriate of Potash): 25,Diammonium Phosphate (18-46-0): 87 | Neem Coated Urea  : 255 | Potassium Chloride (Muriate of Potash): 25
PB/2017-18/95451811/1,Sugarcane,Neem Coated Urea  : 0 | Single Superphosphate (16% P2O5 Granulated): 0 | Potassium Chloride (Muriate of Potash): 0,Diammonium Phosphate (18-46-0): 0 | Neem Coated Urea  : 0 | Potassium Chloride (Muriate of Potash): 0
